tier,price_aud,category,sub_category,rule_of_thumb,examples_from_catalog
T4,29.95,Water Filters,RO systems with tank,Complete RO with 12L+ storage tank,"5-stage RO with tank, 6-stage RO with alkaline + tank, ZeroWaste RO"
T4,29.95,Bubblers & Coolers,Bench-top coolers,Bench-top hot/cold dispensers,"Bench-top hot/cold cooler, under-counter chiller (small)"
T4,29.95,Plumbing,Single toilets (parcel-shippable),Back-to-wall toilet suite in one box,"Back-to-wall rimless P-trap dual flush, S-trap rimless toilet"
T4,29.95,Pumps & Tanks,Larger pumps,Pumps 5-10kg,"Booster pump assembly, larger RO booster with bracket"
T4,29.95,Water Filters,UV systems small,UV chambers 6W-12W with housing,"6W UV, 12W UV chamber"
T5,FREE,Water Filters,Whole house single Big Blue,Single 10x4.5 or 20x4.5 whole-house system,"WM 1-stage WH 10x4.5, WM 1-stage WH 20x4.5"
T5,FREE,Water Filters,Whole house twin Big Blue,Twin Big Blue whole-house system,"WM 2-stage WH 20x4.5 twin, twin BB with bracket"
T5,FREE,Water Filters,Whole house triple Big Blue,Triple Big Blue whole-house system,"WM 3-stage WH 20x4.5 triple, triple BB with stainless cabinet"
T5,FREE,Water Filters,UV systems medium-large,UV chambers 25W-55W,"25W UV chamber, 40W UV chamber, 55W UV chamber"
T5,FREE,Bubblers & Coolers,Freestanding coolers,Floor-standing hot/cold dispensers,"Freestanding hot/cold water cooler, floor-standing chiller"
T5,FREE,Bubblers & Coolers,Commercial bubblers,Stainless steel commercial bubblers,"Round stainless bubbler, square stainless bubbler, school bubbler"
T5,FREE,Pumps & Tanks,Larger pressure tanks,19L-32L pressure tanks,"19L pressure tank, 24L pressure tank, 32L pressure tank"
T5,FREE,Plumbing,In-wall toilets,Concealed cistern toilet systems,"In-wall concealed cistern toilet rimless floor mount, in-wall pneumatic"
T6,QUOTE,Water Filters,Commercial RO plants,1500/3000 LPD commercial RO,"Commercial RO plant 1500 LPD, Commercial RO plant 3000 LPD 800 GPD"
T6,QUOTE,Pumps & Tanks,Large pressure tanks,50L+ pressure tanks,"50L pressure tank, 100L pressure tank"
T6,QUOTE,Pumps & Tanks,Dosing tanks,50/100/200L dosing tanks with bunding,"50L bunded dosing tank, 100L bunded dosing tank, 200L bunded dosing tank"
T6,QUOTE,Plumbing,Bathroom bundles,Complete bathroom packages 4-piece with 1200mm cabinet,"Bundle 4G (1200mm), Bundle 4B (1200mm), Bundle 4C (1200mm)"
T6,QUOTE,Plumbing,Vanity cabinets large,Free-standing vanity cabinets 900mm+,"900mm vanity, 1200mm vanity cabinet, 1500mm vanity"
