clean_url,clicks,impressions,type,priority,suggested_redirect
https://enviroaqua.com.au/product/drinking-fountain-tap-for-bubbler-cooler-chrome-tap-faucet/,24,2029,product,critical,301 → /products/drinking-fountain-tap-for-bubbler-cooler-chrome-tap-faucet (Shopify standard)
https://enviroaqua.com.au/product/1-inch-flexible-stainless-steel-hose-for-pressure-tank/,22,4401,product,critical,301 → /products/1-inch-flexible-stainless-steel-hose-for-pressure-tank (Shopify standard)
https://enviroaqua.com.au/product-category/fittings-parts/,22,2874,product-category,critical,301 → /collections/fittings-parts
https://enviroaqua.com.au/product/hot-cold-water-cooler-direct-connect/,20,6466,product,critical,301 → /products/hot-cold-water-cooler-direct-connect (Shopify standard)
https://enviroaqua.com.au/product-category/filter-cartridges/,20,4539,product-category,critical,301 → /collections/filter-cartridges
https://enviroaqua.com.au/product/aquarium-fish-tank-carbon-activated-carbon-filter-500g-1kg-2kg-3kg-5kg-25kg/,19,3633,product,critical,301 → /products/aquarium-fish-tank-carbon-activated-carbon-filter-500g-1kg-2kg-3kg-5kg-25kg (Shopify standard)
https://enviroaqua.com.au/product/diaphragm-booster-pump-ro-water-pump-24vdc-1100ml-min/,18,6121,product,critical,301 → /products/diaphragm-booster-pump-ro-water-pump-24vdc-1100ml-min (Shopify standard)
https://enviroaqua.com.au/product-category/whole-house/,18,2777,product-category,critical,301 → /collections/whole-house
https://enviroaqua.com.au/product/premium-ro-filter-tap-sus304-nsf-approved-in-black-nickel-and-gold/,18,523,product,critical,301 → /products/premium-ro-filter-tap-sus304-nsf-approved-in-black-nickel-and-gold (Shopify standard)
https://enviroaqua.com.au/product-category/kitchen-taps/,15,8254,product-category,critical,301 → /collections/kitchen-taps
https://enviroaqua.com.au/product/inline-water-filter-t33-activated-post-carbon-5-micron-10x2/,15,1404,product,critical,301 → /products/inline-water-filter-t33-activated-post-carbon-5-micron-10x2 (Shopify standard)
https://enviroaqua.com.au/product/commercial-stainless-steel-filtered-cold-water-bubbler-square/,14,1810,product,critical,301 → /products/commercial-stainless-steel-filtered-cold-water-bubbler-square (Shopify standard)
https://enviroaqua.com.au/product/ro-water-filter-24v-dc-diaphragm-pump-reverse-osmosis-pressure-booster-pump/,14,1202,product,critical,301 → /products/ro-water-filter-24v-dc-diaphragm-pump-reverse-osmosis-pressure-booster-pump (Shopify standard)
https://enviroaqua.com.au/product/water-pressure-reducing-valve-with-quick-connect-fitting-1-4-6mm-tube/,13,5146,product,critical,301 → /products/water-pressure-reducing-valve-with-quick-connect-fitting-1-4-6mm-tube (Shopify standard)
https://enviroaqua.com.au/product/big-blue-whole-house-water-filter-and-uv-ultraviolet-sterilization-system/,13,2996,product,critical,301 → /products/big-blue-whole-house-water-filter-and-uv-ultraviolet-sterilization-system (Shopify standard)
https://enviroaqua.com.au/product/twin-pair-of-water-filter-cartridges-carbon-cto-sediment-pp-10-x-2-5/,13,677,product,critical,301 → /products/twin-pair-of-water-filter-cartridges-carbon-cto-sediment-pp-10-x-2-5 (Shopify standard)
https://enviroaqua.com.au/product/vessel-tank-12-5l-short-tank1-25mm-ports-suitable-for-twin-tanks/,13,105,product,critical,301 → /products/vessel-tank-12-5l-short-tank1-25mm-ports-suitable-for-twin-tanks (Shopify standard)
https://enviroaqua.com.au/product/under-sink-water-filter-6-stage-reverse-osmosis-system/,12,17639,product,critical,301 → /products/under-sink-water-filter-6-stage-reverse-osmosis-system (Shopify standard)
https://enviroaqua.com.au/product-category/bubblers-coolers/,12,5621,product-category,critical,301 → /collections/bubblers-coolers
https://enviroaqua.com.au/product/tap-thread-adaptor-suitable-for-countertop-systems-22mm-to-24mm/,12,498,product,critical,301 → /products/tap-thread-adaptor-suitable-for-countertop-systems-22mm-to-24mm (Shopify standard)
https://enviroaqua.com.au/product/uv-water-filter-ultraviolet-sterilisation-0-5-1-gpm-6w-220v/,11,9408,product,critical,301 → /products/uv-water-filter-ultraviolet-sterilisation-0-5-1-gpm-6w-220v (Shopify standard)
https://enviroaqua.com.au/product/inline-water-filter-fluoride-removal-10x2/,11,7254,product,critical,301 → /products/inline-water-filter-fluoride-removal-10x2 (Shopify standard)
https://enviroaqua.com.au/product/ultraviolet-water-sterilizer-stainless-steel-unit-55w-2700lph-phillip-lamp/,11,2683,product,critical,301 → /products/ultraviolet-water-sterilizer-stainless-steel-unit-55w-2700lph-phillip-lamp (Shopify standard)
https://enviroaqua.com.au/product/ultraviolet-water-sterilizer-stainless-steel-unit-40w-2700lph-full-set-4-pins/,11,2311,product,critical,301 → /products/ultraviolet-water-sterilizer-stainless-steel-unit-40w-2700lph-full-set-4-pins (Shopify standard)
https://enviroaqua.com.au/product/spring-loaded-3-way-tap-kitchen-mixer-in-black-chrome-nickel/,11,1837,product,critical,301 → /products/spring-loaded-3-way-tap-kitchen-mixer-in-black-chrome-nickel (Shopify standard)
https://enviroaqua.com.au/product/commercial-reverse-osmosis-ro-3000-lpd-800-gpd-with-pressure-tank/,11,947,product,critical,301 → /products/commercial-reverse-osmosis-ro-3000-lpd-800-gpd-with-pressure-tank (Shopify standard)
https://enviroaqua.com.au/product/whole-house-water-filter-1-stage-20x4-5-inch-washable-reusable/,11,242,product,critical,301 → /products/whole-house-water-filter-1-stage-20x4-5-inch-washable-reusable (Shopify standard)
https://enviroaqua.com.au/product-category/water-pumps/,10,3197,product-category,critical,301 → /collections/water-pumps
https://enviroaqua.com.au/product/commercial-stainless-steel-filtered-cold-water-bubbler-circular/,10,941,product,critical,301 → /products/commercial-stainless-steel-filtered-cold-water-bubbler-circular (Shopify standard)
https://enviroaqua.com.au/bathroom/product/toilet-rimless-modern-watermark-ceramic-p-trap-commode-modern-2piece-toilet-wels/,10,677,bathroom-product (duplicate canonical),critical,301 → canonical /products/<slug> on new site
https://enviroaqua.com.au/product/reusable-100-micron-strainer-water-filter-washable-filter-sediment-10x2-5/,10,421,product,critical,301 → /products/reusable-100-micron-strainer-water-filter-washable-filter-sediment-10x2-5 (Shopify standard)
https://enviroaqua.com.au/product/premium-water-filter-faucet-tap-reverse-osmosis-drinking-ro-nsf/,9,1698,product,critical,301 → /products/premium-water-filter-faucet-tap-reverse-osmosis-drinking-ro-nsf (Shopify standard)
https://enviroaqua.com.au/product/spring-loaded-tap-kitchen-mixer-in-brushed-nickel/,9,565,product,critical,301 → /products/spring-loaded-tap-kitchen-mixer-in-brushed-nickel (Shopify standard)
https://enviroaqua.com.au/product/vessel-tank-12-5l-short-tank/,9,123,product,critical,301 → /products/vessel-tank-12-5l-short-tank (Shopify standard)
https://enviroaqua.com.au/product/whole-house-water-filter-1-stage-20x4-5-inch-sediment/,9,115,product,critical,301 → /products/whole-house-water-filter-1-stage-20x4-5-inch-sediment (Shopify standard)
https://enviroaqua.com.au/product/4-stages-whole-house-water-filter-and-uv-ultraviolet-sterilization-system-40w/,8,6410,product,critical,301 → /products/4-stages-whole-house-water-filter-and-uv-ultraviolet-sterilization-system-40w (Shopify standard)
https://enviroaqua.com.au/product/uv-water-filter-ultraviolet-sterilisation-2700lph-55w-220v-240v/,8,5557,product,critical,301 → /products/uv-water-filter-ultraviolet-sterilisation-2700lph-55w-220v-240v (Shopify standard)
https://enviroaqua.com.au/product/double-water-filter-tap/,8,1689,product,critical,301 → /products/double-water-filter-tap (Shopify standard)
https://enviroaqua.com.au/product/dc12v-180w-submersible-solar-power-water-well-pump-garden-farm-ranch-23ft-lift/,8,1632,product,critical,301 → /products/dc12v-180w-submersible-solar-power-water-well-pump-garden-farm-ranch-23ft-lift (Shopify standard)
https://enviroaqua.com.au/product/single-phase-submersible-clean-water-pump-370w-lift-10m/,8,1166,product,critical,301 → /products/single-phase-submersible-clean-water-pump-370w-lift-10m (Shopify standard)
https://enviroaqua.com.au/product/bladder-for-8l-pressure-water-tank-drinking-water-compatible-made-in-italy/,8,1129,product,critical,301 → /products/bladder-for-8l-pressure-water-tank-drinking-water-compatible-made-in-italy (Shopify standard)
https://enviroaqua.com.au/product/plastic-opening-handle-spanner-wrench-for-10x2-5water-filter-housing-universal/,8,891,product,critical,301 → /products/plastic-opening-handle-spanner-wrench-for-10x2-5water-filter-housing-universal (Shopify standard)
https://enviroaqua.com.au/bunded-chemical-tank-australia-regulations-compliance/,8,753,top-level page (landing/info),high,301 → /pages/bunded-chemical-tank-australia-regulations-compliance on new site
https://enviroaqua.com.au/product/under-sink-water-filter-4-stage-reverse-osmosis-system/,7,5497,product,critical,301 → /products/under-sink-water-filter-4-stage-reverse-osmosis-system (Shopify standard)
https://enviroaqua.com.au/product/commercial-reverse-osmosis-ro-1500-lpd-400gpd/,7,4184,product,critical,301 → /products/commercial-reverse-osmosis-ro-1500-lpd-400gpd (Shopify standard)
https://enviroaqua.com.au/product/premium-three-stage-big-blue-whole-house-water-filter-system/,7,2978,product,critical,301 → /products/premium-three-stage-big-blue-whole-house-water-filter-system (Shopify standard)
https://enviroaqua.com.au/product/standard-10-x-2-5-water-filter-standard-water-filter-housing-white-universal/,7,1272,product,critical,301 → /products/standard-10-x-2-5-water-filter-standard-water-filter-housing-white-universal (Shopify standard)
https://enviroaqua.com.au/product/commercial-reverse-osmosis-ro-3000-lpd-800-gpd/,7,904,product,critical,301 → /products/commercial-reverse-osmosis-ro-3000-lpd-800-gpd (Shopify standard)
https://enviroaqua.com.au/product/rimless-watermark-wash-down-toilet-soft-close-wels-central-coast/,7,540,product,critical,301 → /products/rimless-watermark-wash-down-toilet-soft-close-wels-central-coast (Shopify standard)
https://enviroaqua.com.au/our-contacts/,7,460,top-level page (landing/info),high,301 → /pages/our-contacts on new site
https://enviroaqua.com.au/product/commercial-rust-free-filtered-cold-water-bubbler/,6,2786,product,critical,301 → /products/commercial-rust-free-filtered-cold-water-bubbler (Shopify standard)
https://enviroaqua.com.au/product/bench-top-water-filter-sediment-1-stage/,6,1414,product,critical,301 → /products/bench-top-water-filter-sediment-1-stage (Shopify standard)
https://enviroaqua.com.au/bathroom/product/rimless-toilet-suite-back-to-wall-faced-close-soft-close-seat-back-inlet-wels/,6,1005,bathroom-product (duplicate canonical),critical,301 → canonical /products/<slug> on new site
https://enviroaqua.com.au/bathroom/product/toilet-rimless-modern-watermark-ceramic-p-trap-commode-modern-2piece-toilet-wels-2/,6,896,bathroom-product (duplicate canonical),critical,301 → canonical /products/<slug> on new site
https://enviroaqua.com.au/product/water-filter-tube-high-pressure-nsf-pipe-1-4-inch-6mm-lldpe/,6,841,product,critical,301 → /products/water-filter-tube-high-pressure-nsf-pipe-1-4-inch-6mm-lldpe (Shopify standard)
https://enviroaqua.com.au/product/toilet-rimless-modern-watermark-ceramic-p-trap-commode-modern-2piece-toilet-wels/,6,605,product,critical,301 → /products/toilet-rimless-modern-watermark-ceramic-p-trap-commode-modern-2piece-toilet-wels (Shopify standard)
https://enviroaqua.com.au/product/12v-uv-water-sterilizer-filter/,6,484,product,critical,301 → /products/12v-uv-water-sterilizer-filter (Shopify standard)
https://enviroaqua.com.au/promotions/,6,459,top-level page (landing/info),high,301 → /pages/promotions on new site
https://enviroaqua.com.au/product/3-8-quick-od-50psi-pressure-limiting-protection-dual-check-valve-water-filter/,6,422,product,critical,301 → /products/3-8-quick-od-50psi-pressure-limiting-protection-dual-check-valve-water-filter (Shopify standard)
https://enviroaqua.com.au/product/diverter-valve-tap-rubber-connector-adapter-to-fit-benchtop-to-old-taps/,6,339,product,critical,301 → /products/diverter-valve-tap-rubber-connector-adapter-to-fit-benchtop-to-old-taps (Shopify standard)
https://enviroaqua.com.au/product/inline-uf-ultrafiltration-filter-cartridge/,6,238,product,critical,301 → /products/inline-uf-ultrafiltration-filter-cartridge (Shopify standard)
https://enviroaqua.com.au/product/water-pressure-tank-vessel-50l-steel-drinking-water-compatible-bladder-almond/,6,201,product,critical,301 → /products/water-pressure-tank-vessel-50l-steel-drinking-water-compatible-bladder-almond (Shopify standard)
https://enviroaqua.com.au/product/inline-water-filter-alkaline-ph-neutralising-10-x-2/,5,3522,product,critical,301 → /products/inline-water-filter-alkaline-ph-neutralising-10-x-2 (Shopify standard)
https://enviroaqua.com.au/product/id-8mm-5m-plastic-clear-pvc-hose-pipe-tube-air-water-food-home-washer/,5,2371,product,critical,301 → /products/id-8mm-5m-plastic-clear-pvc-hose-pipe-tube-air-water-food-home-washer (Shopify standard)
https://enviroaqua.com.au/product/whole-house-water-filter-clear-sediment-1-stage/,5,1641,product,critical,301 → /products/whole-house-water-filter-clear-sediment-1-stage (Shopify standard)
https://enviroaqua.com.au/product/3-way-filtered-kitchen-mixer-tap-black-nickel-gold-chrome/,5,1636,product,critical,301 → /products/3-way-filtered-kitchen-mixer-tap-black-nickel-gold-chrome (Shopify standard)
https://enviroaqua.com.au/product/gooseneck-kitchen-mixer-tap-polished-chrome/,5,1576,product,critical,301 → /products/gooseneck-kitchen-mixer-tap-polished-chrome (Shopify standard)
https://enviroaqua.com.au/product/bench-top-water-filter-sediment-carbon-2-stage/,5,842,product,critical,301 → /products/bench-top-water-filter-sediment-carbon-2-stage (Shopify standard)
https://enviroaqua.com.au/product/water-filter-tube-high-pressure-nsf-pipe-3-4-lldpe/,5,558,product,critical,301 → /products/water-filter-tube-high-pressure-nsf-pipe-3-4-lldpe (Shopify standard)
https://enviroaqua.com.au/product/washable-reusable-water-filter-pleated-5-micron-10x4-5/,5,440,product,critical,301 → /products/washable-reusable-water-filter-pleated-5-micron-10x4-5 (Shopify standard)
https://enviroaqua.com.au/product/24v-low-pressure-switch-for-pump-ro-water-fitlers-with-quick-connect/,5,193,product,critical,301 → /products/24v-low-pressure-switch-for-pump-ro-water-fitlers-with-quick-connect (Shopify standard)
https://enviroaqua.com.au/chemical-dosing-tank-bore-water-treatment-australia/,5,106,top-level page (landing/info),high,301 → /pages/chemical-dosing-tank-bore-water-treatment-australia on new site
https://enviroaqua.com.au/product/30-pics-3-8-locking-clips-clamps-for-reverse-osmosis-water-filter-fittings-6mm-3/,5,90,product,critical,301 → /products/30-pics-3-8-locking-clips-clamps-for-reverse-osmosis-water-filter-fittings-6mm-3 (Shopify standard)
https://enviroaqua.com.au/author/steve/,5,69,author archive,low,301 → homepage or 410 Gone
https://enviroaqua.com.au/product/20-x-4-5-whole-house-rain-tank-water-filter-system-5mic-sediment-steel-bracket/,5,63,product,critical,301 → /products/20-x-4-5-whole-house-rain-tank-water-filter-system-5mic-sediment-steel-bracket (Shopify standard)
https://enviroaqua.com.au/product/complete-bathroom-package-2c-polished-chrome-watermark-certified-wels-rated/,5,52,product,critical,301 → /products/complete-bathroom-package-2c-polished-chrome-watermark-certified-wels-rated (Shopify standard)
https://enviroaqua.com.au/product/under-sink-water-filter-5-stage-reverse-osmosis-system/,4,12279,product,critical,301 → /products/under-sink-water-filter-5-stage-reverse-osmosis-system (Shopify standard)
https://enviroaqua.com.au/product-category/tanks-bladders/,4,2301,product-category,critical,301 → /collections/tanks-bladders
https://enviroaqua.com.au/product/whole-house-water-filter-clear-carbon-1-stage/,4,742,product,critical,301 → /products/whole-house-water-filter-clear-carbon-1-stage (Shopify standard)
https://enviroaqua.com.au/water-filters-central-coast-nsw/,4,605,top-level page (landing/info),high,301 → /pages/water-filters-central-coast-nsw on new site
https://enviroaqua.com.au/best-whole-house-water-filter-australia-2026/,4,507,top-level page (landing/info),high,301 → /pages/best-whole-house-water-filter-australia-2026 on new site
https://enviroaqua.com.au/product-category/toilets/,4,460,product-category,critical,301 → /collections/toilets
https://enviroaqua.com.au/product/in-wall-concealed-cistern-toilet-rimless-floor-mount-pan-chrome-buttons-wels/,4,393,product,critical,301 → /products/in-wall-concealed-cistern-toilet-rimless-floor-mount-pan-chrome-buttons-wels (Shopify standard)
https://enviroaqua.com.au/product/whole-house-water-filter-clear-sediment-carbon-2-stage/,4,312,product,critical,301 → /products/whole-house-water-filter-clear-sediment-carbon-2-stage (Shopify standard)
https://enviroaqua.com.au/product/under-sink-water-filter-2-stage-sediment-carbon/,4,279,product,critical,301 → /products/under-sink-water-filter-2-stage-sediment-carbon (Shopify standard)
https://enviroaqua.com.au/product/twin-20-x-4-5-big-blue-whole-house-water-filter-system-2-stage-bb-bracketca/,4,239,product,critical,301 → /products/twin-20-x-4-5-big-blue-whole-house-water-filter-system-2-stage-bb-bracketca (Shopify standard)
https://enviroaqua.com.au/product/water-filter-tube-high-pressure-nsf-pipe-1-4-inch-lldpe/,4,210,product,critical,301 → /products/water-filter-tube-high-pressure-nsf-pipe-1-4-inch-lldpe (Shopify standard)
https://enviroaqua.com.au/product/100l-vertical-solar-system-water-pressure-tank-expansion-tank-with-legs/,4,187,product,critical,301 → /products/100l-vertical-solar-system-water-pressure-tank-expansion-tank-with-legs (Shopify standard)
https://enviroaqua.com.au/product/1-4-tank-ball-valve-quick-connect-aquarium-ro-water-pressure-tank-switch/,4,134,product,critical,301 → /products/1-4-tank-ball-valve-quick-connect-aquarium-ro-water-pressure-tank-switch (Shopify standard)
https://enviroaqua.com.au/product/reverse-osmosis-ro-residential-1-4-drain-clamp-2/,4,101,product,critical,301 → /products/reverse-osmosis-ro-residential-1-4-drain-clamp-2 (Shopify standard)
https://enviroaqua.com.au/product/whole-house-water-filter-2-stage-10x4-5-inch-washable-reusable/,4,97,product,critical,301 → /products/whole-house-water-filter-2-stage-10x4-5-inch-washable-reusable (Shopify standard)
https://enviroaqua.com.au/product/3-speed-hot-water-circulator-boiler-pump-switch-heating-sys-1-male-1-5-female/,3,2339,product,critical,301 → /products/3-speed-hot-water-circulator-boiler-pump-switch-heating-sys-1-male-1-5-female (Shopify standard)
https://enviroaqua.com.au/product/polypropylene-sediment-water-filter-pp-5-micron-10x4-5/,3,1604,product,critical,301 → /products/polypropylene-sediment-water-filter-pp-5-micron-10x4-5 (Shopify standard)
https://enviroaqua.com.au/bathroom/product/rimless-toilet-suite-back-to-wall-faced-close-soft-close-seat-back-inlet-wels-2/,3,1085,bathroom-product (duplicate canonical),critical,301 → canonical /products/<slug> on new site
https://enviroaqua.com.au/product/inline-shutoff-ball-valve-push-fit-quick-connect-1-4-inch/,3,675,product,critical,301 → /products/inline-shutoff-ball-valve-push-fit-quick-connect-1-4-inch (Shopify standard)
https://enviroaqua.com.au/product/12v-self-priming-water-pump-kit-with-tap-pipe-and-12l-tank/,3,532,product,critical,301 → /products/12v-self-priming-water-pump-kit-with-tap-pipe-and-12l-tank (Shopify standard)
https://enviroaqua.com.au/product/3-way-kitchen-tap-ro-water-filters-mixer-shiny-gold/,3,467,product,critical,301 → /products/3-way-kitchen-tap-ro-water-filters-mixer-shiny-gold (Shopify standard)
https://enviroaqua.com.au/bathroom/product/vanity-cabinetceramic-basin-top-wood-wall-mount-pvc-800mmtap-drainage-not-inc/,3,449,bathroom-product (duplicate canonical),critical,301 → canonical /products/<slug> on new site
https://enviroaqua.com.au/product/whole-house-water-filter-2-stage-10x4-5-inch-sediment-carbon/,3,134,product,critical,301 → /products/whole-house-water-filter-2-stage-10x4-5-inch-sediment-carbon (Shopify standard)
https://enviroaqua.com.au/product/premium-three-stage-big-blue-whole-house-water-filter-system-stainless/,3,55,product,critical,301 → /products/premium-three-stage-big-blue-whole-house-water-filter-system-stainless (Shopify standard)
https://enviroaqua.com.au/product-category/fittings-parts/page/4/,3,23,product-category,critical,301 → /collections/fittings-parts
https://enviroaqua.com.au/product-category/installation-packages/,3,19,product-category,critical,301 → /collections/installation-packages
https://enviroaqua.com.au/bathroom/product/brass-durable-kitchen-mixer-tap-360-swivel-sink-faucet-taps-chrome-wels/,2,2367,bathroom-product (duplicate canonical),critical,301 → canonical /products/<slug> on new site
https://enviroaqua.com.au/bathroom/product/115mm-square-tile-insert-100mm-waste-outlet-floor-drain-shower-grate/,2,2116,bathroom-product (duplicate canonical),critical,301 → canonical /products/<slug> on new site
https://enviroaqua.com.au/bathroom/product/brass-kitchen-mixer-tap-long-swivel-spout-laundry-faucet-sink-taps-chrome-durabl-2/,2,2026,bathroom-product (duplicate canonical),critical,301 → canonical /products/<slug> on new site
https://enviroaqua.com.au/product/granular-activated-carbon-water-filter-gac-5-micron-20x4-5/,2,1973,product,critical,301 → /products/granular-activated-carbon-water-filter-gac-5-micron-20x4-5 (Shopify standard)
https://enviroaqua.com.au/product/smart-led-bathroom-mirror-oval/,2,1805,product,critical,301 → /products/smart-led-bathroom-mirror-oval (Shopify standard)
https://enviroaqua.com.au/product-category/bathroom-taps/,2,1433,product-category,critical,301 → /collections/bathroom-taps
https://enviroaqua.com.au/watermark-policy/,2,1181,top-level page (landing/info),high,301 → /pages/watermark-policy on new site
https://enviroaqua.com.au/product/12cm-bathroom-mixer-tap-in-polished-chrome-extended-sprout/,2,1060,product,critical,301 → /products/12cm-bathroom-mixer-tap-in-polished-chrome-extended-sprout (Shopify standard)
https://enviroaqua.com.au/bathroom/product/shower-filter-kdf-carbon-great-for-chlorine-skin-allergies-extra-cartridge/,2,1026,bathroom-product (duplicate canonical),critical,301 → canonical /products/<slug> on new site
https://enviroaqua.com.au/product/automatic-self-priming-hot-cold-water-pressure-pump-with-flow-control-380w-220v/,2,816,product,critical,301 → /products/automatic-self-priming-hot-cold-water-pressure-pump-with-flow-control-380w-220v (Shopify standard)
https://enviroaqua.com.au/product/polypropylene-sediment-water-filter-pp-5-micron-10x2-5/,2,711,product,critical,301 → /products/polypropylene-sediment-water-filter-pp-5-micron-10x2-5 (Shopify standard)
https://enviroaqua.com.au/whole-house-water-filter-cost-australia/,2,581,top-level page (landing/info),high,301 → /pages/whole-house-water-filter-cost-australia on new site
https://enviroaqua.com.au/product/bench-top-water-filter-carbon-1-stage/,2,555,product,critical,301 → /products/bench-top-water-filter-carbon-1-stage (Shopify standard)
https://enviroaqua.com.au/product/bladder-for-50l-pressure-water-tank-drinking-water-compatible-made-in-italy/,2,554,product,critical,301 → /products/bladder-for-50l-pressure-water-tank-drinking-water-compatible-made-in-italy (Shopify standard)
https://enviroaqua.com.au/product/uv-water-filter-ultraviolet-sterilisation-1500lph-25w-220v-240v/,2,515,product,critical,301 → /products/uv-water-filter-ultraviolet-sterilisation-1500lph-25w-220v-240v (Shopify standard)
https://enviroaqua.com.au/whole-house-water-filter-chloramine-pfas-australia/,2,491,top-level page (landing/info),high,301 → /pages/whole-house-water-filter-chloramine-pfas-australia on new site
https://enviroaqua.com.au/bathroom/product/vanity-cabinetceramic-basin-top-white-wall-hung-pvc-800mmtap-drainage-not-inc/,2,490,bathroom-product (duplicate canonical),critical,301 → canonical /products/<slug> on new site
https://enviroaqua.com.au/product/polypropylene-sediment-water-filter-pp-5-micron-20x2-5/,2,469,product,critical,301 → /products/polypropylene-sediment-water-filter-pp-5-micron-20x2-5 (Shopify standard)
https://enviroaqua.com.au/product/water-filter-replacement-set-standard-6-stage-5-micron-10-inch/,2,468,product,critical,301 → /products/water-filter-replacement-set-standard-6-stage-5-micron-10-inch (Shopify standard)
https://enviroaqua.com.au/product/under-sink-water-filter-3-stage-sediment-carbon-alkaline/,2,464,product,critical,301 → /products/under-sink-water-filter-3-stage-sediment-carbon-alkaline (Shopify standard)
https://enviroaqua.com.au/product/5-x-1-4-push-fit-pipe-fitting-elbow-tube-connector-joiner-water-filter-fridge-ro/,2,412,product,critical,301 → /products/5-x-1-4-push-fit-pipe-fitting-elbow-tube-connector-joiner-water-filter-fridge-ro (Shopify standard)
https://enviroaqua.com.au/product/coconut-activated-carbon-water-filter-cto-5-micron-10x2-5/,2,410,product,critical,301 → /products/coconut-activated-carbon-water-filter-cto-5-micron-10x2-5 (Shopify standard)
https://enviroaqua.com.au/product/coconut-activated-carbon-water-filter-cto-5-micron-10x4-5/,2,361,product,critical,301 → /products/coconut-activated-carbon-water-filter-cto-5-micron-10x4-5 (Shopify standard)
https://enviroaqua.com.au/product/polypropylene-sediment-water-filter-pp-5-micron-20x4-5/,2,326,product,critical,301 → /products/polypropylene-sediment-water-filter-pp-5-micron-20x4-5 (Shopify standard)
https://enviroaqua.com.au/product/premium-twin-undersink-water-filter-system-with-three-way-tap/,2,302,product,critical,301 → /products/premium-twin-undersink-water-filter-system-with-three-way-tap (Shopify standard)
https://enviroaqua.com.au/product/12-litre-reverse-osmosis-water-holding-tank-ro-3-2g-plastic-rust-free/,2,300,product,critical,301 → /products/12-litre-reverse-osmosis-water-holding-tank-ro-3-2g-plastic-rust-free (Shopify standard)
https://enviroaqua.com.au/product/24v-high-pressure-switch-for-pump-ro-water-fitlers-with-quick-connect/,2,266,product,critical,301 → /products/24v-high-pressure-switch-for-pump-ro-water-fitlers-with-quick-connect (Shopify standard)
https://enviroaqua.com.au/product/twin-water-filter-cartridges-premium-carbon-sediment-10x2-5-5-micron/,2,191,product,critical,301 → /products/twin-water-filter-cartridges-premium-carbon-sediment-10x2-5-5-micron (Shopify standard)
https://enviroaqua.com.au/product/6-stage-reverse-osmosis-water-filters-set-with-75gpd-ro-membrane-alkaline-cart/,2,177,product,critical,301 → /products/6-stage-reverse-osmosis-water-filters-set-with-75gpd-ro-membrane-alkaline-cart (Shopify standard)
https://enviroaqua.com.au/product/whole-house-water-filter-1-stage-10x4-5-inch-sediment/,2,174,product,critical,301 → /products/whole-house-water-filter-1-stage-10x4-5-inch-sediment (Shopify standard)
https://enviroaqua.com.au/product/5-stage-reverse-osmosis-ro-full-replacement-set-with-75-gpd-membrane-nsf/,2,172,product,critical,301 → /products/5-stage-reverse-osmosis-ro-full-replacement-set-with-75-gpd-membrane-nsf (Shopify standard)
https://enviroaqua.com.au/product/diverter-valve-tap-connector-for-1-4-tube-benchtop-countertop-water-filters/,2,162,product,critical,301 → /products/diverter-valve-tap-connector-for-1-4-tube-benchtop-countertop-water-filters (Shopify standard)
https://enviroaqua.com.au/product/15-stage-shower-filter-great-for-chlorine-skin-allergies-extra-cartridge/,2,158,product,critical,301 → /products/15-stage-shower-filter-great-for-chlorine-skin-allergies-extra-cartridge (Shopify standard)
